                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.645,                 3.0109,                 1.5441,                0.40407,                0.40884,                0.33112,                0.14474,                 1.3614,                 23.539,                 1.2285,              0.0033296,              0.0033296,              0.0033296
                      2,                 1.6634,                 2.2046,                 1.5281,                0.40627,                0.36538,                0.32356,                0.14602,                 1.3811,                   11.6,                 1.2125,               0.006531,               0.006531,               0.006531
                      3,                 1.7682,                 2.0645,                 1.6133,                0.40641,                0.36684,                 0.3175,                0.12687,                 1.5054,                 10.525,                 1.3577,              0.0096004,              0.0096004,              0.0096004
                      4,                 1.8266,                 2.0641,                 1.6655,                0.44049,                0.40028,                0.36592,                0.15446,                 1.4406,                 19.389,                 1.2941,               0.009406,               0.009406,               0.009406
                      5,                 1.7551,                 1.8991,                   1.61,                0.54829,                0.43891,                0.45641,                0.21553,                  1.304,                 5.8521,                 1.1799,               0.009208,               0.009208,               0.009208
                      6,                 1.7081,                 1.8148,                 1.5728,                0.56131,                0.48273,                0.50191,                0.24394,                 1.2774,                 3.4729,                 1.1586,                0.00901,                0.00901,                0.00901
                      7,                 1.6775,                 1.7428,                 1.5477,                0.57137,                0.50603,                0.51935,                0.25406,                 1.2649,                 6.0582,                 1.1424,               0.008812,               0.008812,               0.008812
                      8,                 1.6355,                 1.6586,                 1.5265,                0.60745,                0.52502,                0.55875,                0.27878,                 1.2541,                  2.835,                 1.1335,               0.008614,               0.008614,               0.008614
                      9,                 1.6119,                 1.6184,                 1.5155,                 0.5905,                0.53168,                0.55579,                0.28219,                   1.22,                 4.2314,                 1.1189,               0.008416,               0.008416,               0.008416
                     10,                 1.6025,                 1.5949,                 1.5079,                0.60543,                0.54694,                 0.5772,                0.29761,                 1.1993,                 3.6667,                 1.1097,               0.008218,               0.008218,               0.008218
